Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
08NM017,"BELGO CREEK NEAR RUTLAND",BC,Discontinued,50.00278,-119.07833,1921,1921,"38.9",,R,Flow,Miscellaneous,N,N,N,,VANCOUVER,"",N
08NM018,"HILDA CREEK NEAR RUTLAND",BC,Discontinued,50.00333,-119.07500,1920,1920,"18.1",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM019,"BLACK MOUNTAIN IRRIGATION DIVERSION NEAR KELOWNA",BC,Discontinued,49.85694,-119.29944,1920,1930,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM020,"B.X. CREEK ABOVE VERNON INTAKE",BC,Discontinued,50.30083,-119.20833,1959,1999,"55.7",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM021,"VERNON CREEK AT VERNON",BC,Discontinued,50.26111,-119.27028,1921,1960,"593",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM022,"VERNON CREEK AT OUTLET OF SWALWELL LAKE",BC,Discontinued,50.04306,-119.24306,1969,1998,"62.4",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM023,"DARKE CREEK NORTHWEST FORK",BC,Discontinued,49.71111,-119.86667,1922,1922,"13.2",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM024,"EQUESIS CREEK NEAR VERNON",BC,Discontinued,50.30944,-119.43778,1921,1926,"179",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM025,"DARKE CREEK AT MEADOW VALLEY",BC,Discontinued,49.66556,-119.80833,1922,1922,"54.9",,R,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM026,"KELOWNA CREEK NEAR RUTLAND (UPPER STATION)",BC,Discontinued,49.98611,-119.35333,1920,1922,"67.3",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
