x,y,MAX_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,LOCAL_DAY,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,ID,LOCAL_MONTH,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,LOCAL_DATE,LOCAL_YEAR,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,PROVINCE_CODE,TOTAL_SNOW_FLAG
-121.93415138888889,50.683727777777776,87,,15,12.6,,1114619.2013.2.15,2,0,,,,,59,2.4,1114619,M,2013-02-15 00:00:00,2013,5.4,,M,,,,,M,,M,,,LILLOOET,8.3,BC,M
-121.93415138888889,50.683727777777776,92,,28,15.7,,1114619.2013.2.28,2,0,,,,,53,-2.3,1114619,M,2013-02-28 00:00:00,2013,2.3,,M,,,,,M,,M,,,LILLOOET,6.8,BC,M
-121.93415138888889,50.683727777777776,99,,2,18.3,,1114619.2013.2.2,2,0,,,,,83,-4,1114619,M,2013-02-02 00:00:00,2013,-0.3,,M,,,,,M,,M,,,LILLOOET,3.5,BC,M
-121.93415138888889,50.683727777777776,91,,7,14.2,,1114619.2013.2.7,2,0,,,,,61,0,1114619,M,2013-02-07 00:00:00,2013,3.8,,M,,,,,M,,M,,,LILLOOET,7.5,BC,M
-121.93415138888889,50.683727777777776,92,,18,16.1,,1114619.2013.2.18,2,0,,,,,67,-0.4,1114619,M,2013-02-18 00:00:00,2013,1.9,,M,,,,,M,,M,,,LILLOOET,4.1,BC,M
-121.93415138888889,50.683727777777776,96,,8,17.2,,1114619.2013.2.8,2,0,,,,,57,-3.6,1114619,M,2013-02-08 00:00:00,2013,0.8,,M,,,,,M,,M,,,LILLOOET,5.1,BC,M
-121.93415138888889,50.683727777777776,97,,26,12.3,,1114619.2013.2.26,2,0,,,,,40,1.3,1114619,M,2013-02-26 00:00:00,2013,5.7,,M,,,,,M,,M,,,LILLOOET,10.1,BC,M
-121.93415138888889,50.683727777777776,72,,12,10.3,,1114619.2013.2.12,2,0,,,,,28,2.8,1114619,M,2013-02-12 00:00:00,2013,7.7,,M,,,,,M,,M,,,LILLOOET,12.6,BC,M
-121.93415138888889,50.683727777777776,97,,16,13.6,,1114619.2013.2.16,2,0,,,,,60,0.3,1114619,M,2013-02-16 00:00:00,2013,4.4,,M,,,,,M,,M,,,LILLOOET,8.5,BC,M
-121.93415138888889,50.683727777777776,93,,9,15.9,,1114619.2013.2.9,2,0,,,,,55,-2.1,1114619,M,2013-02-09 00:00:00,2013,2.1,,M,,,,,M,,M,,,LILLOOET,6.2,BC,M
