x,y,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE,LOCAL_MONTH,STATION_NAME,TOTAL_RAIN_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN,ID,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST,LOCAL_DAY,CLIMATE_IDENTIFIER,LOCAL_DATE
-128.63416666666666,54.05361111111111,,,1,4,1,KITIMAT TOWNSITE,,,2.5,12.2,1064320.2019.1.21,,0,,2019,,,0,,15.5,12.2,,,,,BC,,0,,,,21,1064320,2019-01-21 00:00:00
-128.63416666666666,54.05361111111111,,,11,21,7,KITIMAT TOWNSITE,,,16,0.4,1064320.2014.7.22,,0,,2014,,,0,,2,0.4,,,,,BC,,0,,,,22,1064320,2014-07-22 00:00:00
-128.63416666666666,54.05361111111111,,,4,6,4,KITIMAT TOWNSITE,,,5,12.2,1064320.2015.4.30,,0,,2015,,,0,,13,12.2,,,,,BC,,0,,,,30,1064320,2015-04-30 00:00:00
-128.63416666666666,54.05361111111111,,,11,26,8,KITIMAT TOWNSITE,,,18.5,0,1064320.2018.8.17,,0,,2018,,,0.5,,0,0,,,,,BC,,0,,,,17,1064320,2018-08-17 00:00:00
-128.63416666666666,54.05361111111111,,,4,13,3,KITIMAT TOWNSITE,,,8.5,4.4,1064320.2016.3.21,,0,,2016,,,0,,9.5,4.4,,,,,BC,,0,,,,21,1064320,2016-03-21 00:00:00
-128.63416666666666,54.05361111111111,,,6,10,10,KITIMAT TOWNSITE,,,8,18.8,1064320.2018.10.24,,0,,2018,,,0,,10,18.8,,,,,BC,,0,,,,24,1064320,2018-10-24 00:00:00
-128.63416666666666,54.05361111111111,,,12,24,7,KITIMAT TOWNSITE,,,18,0,1064320.2020.7.19,,0,,2020,,,0,,0,0,,,,,BC,,0,,,,19,1064320,2020-07-19 00:00:00
-128.63416666666666,54.05361111111111,,,16,30,8,KITIMAT TOWNSITE,,,23,0,1064320.2014.8.2,,0,,2014,,,5,,0,0,,,,,BC,,0,,,,2,1064320,2014-08-02 00:00:00
-128.63416666666666,54.05361111111111,,,8,14,5,KITIMAT TOWNSITE,,,11,0,1064320.2014.5.2,,0,,2014,,,0,,7,0,,,,,BC,,0,,,,2,1064320,2014-05-02 00:00:00
-128.63416666666666,54.05361111111111,,,12,17,8,KITIMAT TOWNSITE,,,14.5,3,1064320.2017.8.31,,0,,2017,,,0,,3.5,3,,,,,BC,,0,,,,31,1064320,2017-08-31 00:00:00
